m,position_mean,position_std,position_sem,qft_mean,qft_std,qft_sem,delta_qft_minus_position
13240,1.8823850305822074,0.002593807942239047,0.00025938079422390466,1.882049826678525,0.0023514952826597323,0.00023514952826597324,-0.0003352039036823573
13405,1.7983789267144843,0.002860653264814359,0.0002860653264814359,1.7985871395668593,0.002461821809399685,0.00024618218093996853,0.00020821285237504483
13571,1.7139393527055404,0.002687733646832279,0.0002687733646832279,1.7137605144551091,0.0023924542178910997,0.00023924542178910998,-0.0001788382504313013
13736,1.6280579871959608,0.0023866096455101783,0.00023866096455101783,1.6279917234249828,0.002362877874447697,0.00023628778744476972,-6.626377097807001e-05
13902,1.5408489518379798,0.002535652736332708,0.0002535652736332708,1.5410340089208754,0.00229437764166088,0.000229437764166088,0.00018505708289562328
14067,1.4528975538660092,0.0025525890615399993,0.00025525890615399994,1.4529933631670746,0.0023868928043657665,0.00023868928043657665,9.58093010654526e-05
14233,1.3637035924895822,0.0021922112776755712,0.00021922112776755713,1.3636672063644264,0.00192751982729875,0.000192751982729875,-3.6386125155773996e-05
14398,1.273260182968516,0.0020854741160355214,0.00020854741160355214,1.2732419097954777,0.0020056823689201626,0.00020056823689201627,-1.827317303826348e-05
14564,1.1810513190062712,0.0019674562987374174,0.00019674562987374175,1.1811033466308638,0.001931504212572034,0.00019315042125720342,5.202762459255439e-05
14729,1.0884809151499055,0.0020656292099108142,0.00020656292099108142,1.0882886242230283,0.0018270194963597123,0.00018270194963597122,-0.0001922909268772255
14895,0.9929286574502229,0.0018065956139743848,0.00018065956139743847,0.9930140955576637,0.0015465709964794345,0.00015465709964794345,8.543810744088276e-05
15060,0.896451564956459,0.001656227446091145,0.0001656227446091145,0.8965347664587553,0.0016027234161735428,0.0001602723416173543,8.320150229634837e-05
15226,0.7975670492426485,0.0015624947281548873,0.00015624947281548873,0.7976017281568191,0.0012939319486531076,0.00012939319486531076,3.4678914170527264e-05
15391,0.6974082699348939,0.0013553027507085106,0.00013553027507085105,0.6973086006644238,0.0012796177948646659,0.0001279617794864666,-9.96692704701152e-05
15557,0.5933329270587886,0.0013085641764254365,0.00013085641764254365,0.5933779916733437,0.0011583764634918474,0.00011583764634918474,4.506461455511257e-05
15722,0.4873961594496538,0.0012695863497059786,0.00012695863497059787,0.48750228641901105,0.0011359992926413907,0.00011359992926413906,0.0001061269693572453
15888,0.3767775046303774,0.0011760480397232942,0.00011760480397232942,0.3768459412054914,0.0009977932599362093,9.977932599362094e-05,6.843657511401702e-05
16053,0.2615833259443044,0.0008203805534758141,8.20380553475814e-05,0.26176620334869094,0.0007912197102440965,7.912197102440965e-05,0.00018287740438654998
16219,0.13825834724322053,0.0007668801733745137,7.668801733745138e-05,0.13830899936046953,0.0006795988884174126,6.795988884174126e-05,5.065211724900043e-05
16384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
