m,order,mean,std,sem,count,minimum,maximum
4966,inf,1.6701526961514381,0.004587896389202849,0.00032441326481866104,200,1.6553029619007535,1.6819693782949705
5131,1.0,5.1455303068337965,0.007870880413905337,0.0005565552914580844,200,5.12621051029407,5.16763985501672
5131,2.0,3.1559929196829497,0.008256448532445339,0.0005838190745809818,200,3.129016158102562,3.17604517362942
5131,inf,1.6257599053509002,0.0045128703884430195,0.00031910812542840277,200,1.6108427380728632,1.6362550782426966
5297,1.0,5.0945945294100365,0.007031995024356462,0.0004972371366992516,200,5.074864597870955,5.1133618015679065
5297,2.0,3.077184731065017,0.007268424790134587,0.0005139552457648574,200,3.0577441337304005,3.096167495603413
5297,inf,1.582310623066097,0.003998289732724868,0.0002827217783158303,200,1.5712097013319788,1.5925449728852636
5462,1.0,5.041822789929437,0.007067565118238829,0.0004997523221584179,200,5.02110703875636,5.065983134604562
5462,2.0,3.000631175919691,0.006969117314408771,0.0004927910111903023,200,2.9817377875244637,3.019581813832548
5462,inf,1.540505380905281,0.003776646678752685,0.0002670492476691676,200,1.5303501687593677,1.5501744507992634
5627,1.0,4.988648960190769,0.007481056289136004,0.0005289905632486337,200,4.962213659059381,5.005265430356679
5627,2.0,2.9249958113296373,0.00732012625421812,0.0005176110913499314,200,2.906898637655922,2.9453453825980196
5627,inf,1.4994091013874367,0.003971019333744239,0.0002807934699113437,200,1.4899950219455813,1.5102976671505572
5793,1.0,4.9350381690865515,0.007541302682393821,0.0005332506265700971,200,4.915320666781384,4.9538460286650094
5793,2.0,2.850856536404101,0.006977623265580968,0.0004933924727657324,200,2.832836992343332,2.8679672659669784
5793,inf,1.4593084672684455,0.0037296029966265402,0.00026372275700482946,200,1.4498662791247,1.468826119987714
5958,1.0,4.880610511233694,0.0071222728232968645,0.000503620741081387,200,4.8600164361322715,4.901414757845122
5958,2.0,2.778620649523899,0.006656476969293643,0.00047068400037996133,200,2.753279164355547,2.799326475588383
5958,inf,1.420482697825605,0.0035650600137710794,0.0002520878111074537,200,1.40690371442106,1.4314685488010324
6124,1.0,4.824196749078558,0.00752864783571391,0.000532355793779873,200,4.7997342744204285,4.841819477492215
6124,2.0,2.70624357568327,0.006258442270167295,0.00044253869688998254,200,2.6823987890605916,2.721482707161384
6124,inf,1.381762615147739,0.003310534643300321,0.00023409014956306452,200,1.3692054507381495,1.3901833138523338
6289,1.0,4.769433271531763,0.007512191124767674,0.000531192128589262,200,4.74846924212906,4.788400697816938
6289,2.0,2.638001210624885,0.0062558505246225506,0.00044235543280500263,200,2.6177766450167224,2.6520873425016607
6289,inf,1.345397299115683,0.0032999925328721863,0.00023334470978588937,200,1.334778954360129,1.3529280580273106
6455,1.0,4.712822683717585,0.007198610139106055,0.0005090186044480128,200,4.697274623767295,4.73178056755744
6455,2.0,2.5701227292262705,0.006031892918042911,0.0004265192385739254,200,2.555793300379799,2.586648134443608
6455,inf,1.309403904025154,0.003163388179105176,0.00022368532329706346,200,1.3019854889647338,1.3181561404252922
6620,1.0,4.65634668143636,0.006496326607233436,0.00045935965967773594,200,4.637753716577953,4.673905919314197
6620,2.0,2.5045503574056918,0.005184559938131835,0.0003666037489721128,200,2.4929950458305052,2.520003312227499
6620,inf,1.2747584114852273,0.002717410567878641,0.0001921499439814974,200,1.2687028258787736,1.2827368998241282
6786,1.0,4.598562023775659,0.00686821466347382,0.00048565611631872196,200,4.577103935284295,4.617136246630429
6786,2.0,2.438860885711017,0.005511107809075519,0.0003896941703647436,200,2.421712506504493,2.450928123000355
6786,inf,1.2401394868031472,0.0028851102662806314,0.00020400810337579603,200,1.231021044455596,1.2463999599719848
6951,1.0,4.541004272067373,0.006104849426122609,0.00043167804273341,200,4.526103841592115,4.560109456267696
6951,2.0,2.375397078307568,0.004677747036120047,0.00033076666499157594,200,2.3616543329610944,2.3885264295175594
6951,inf,1.2068125548316053,0.002442617167567538,0.00017271911630296837,200,1.1996143443082663,1.2138372426265593
7117,1.0,4.4810028697038,0.0064311531945909686,0.0004547512034744802,200,4.459085708377694,4.497603654947507
7117,2.0,2.3124594332113797,0.004613243155851753,0.0003262055518765203,200,2.2995226085501668,2.3239427695702704
7117,inf,1.1738938503358773,0.0023936995756419243,0.0001692601202059766,200,1.1674016624527663,1.1798555827548722
7282,1.0,4.422941093757739,0.006537627730678291,0.00046228009012358397,200,4.404329655732048,4.4441870939532375
7282,2.0,2.2516290142081687,0.004665876200280866,0.0003299272701395522,200,2.2393716399363037,2.262108396837489
7282,inf,1.1421170835285197,0.0024323631162025045,0.0001719940453774833,200,1.1357496236833886,1.1474578088569376
7448,1.0,4.362006018951148,0.006174576454925398,0.00043660848822325415,200,4.345016841487747,4.385744865682418
7448,2.0,2.1907057028248116,0.0044234464762517335,0.0003127848999573339,200,2.1779414590294564,2.2056259858539473
7448,inf,1.110402903823822,0.002299653928905262,0.00016261008875111975,200,1.103773546289933,1.1179934024075717
7613,1.0,4.30237449760572,0.006239677522742602,0.00044121182887485715,200,4.28609870540537,4.315014087530475
7613,2.0,2.132225579564356,0.004057694782035969,0.0002869223496362903,200,2.1217737898322686,2.1416033250651645
7613,inf,1.0800215324105191,0.0020978583093655234,0.00014834098365209078,200,1.0747743560101668,1.085067935636228
7779,1.0,4.241535788571859,0.006169118408157656,0.00043622254603510374,200,4.2270234670740905,4.257999935727842
7779,2.0,2.0743724033392903,0.004201010880462661,0.0002970563281413616,200,2.0629062481071516,2.085200667165076
7779,inf,1.0500300883454876,0.0021691332238026584,0.00015338088118478969,200,1.044112677923864,1.0556062544478328
7944,1.0,4.179019482247155,0.005525375003452556,0.00039070301335399456,200,4.163479688648057,4.1957736723500725
7944,2.0,2.0169529248352904,0.003840627083900358,0.00027157334550346584,200,2.00387071616169,2.025996857854332
7944,inf,1.0203447529361742,0.0019880747672441513,0.00014057811494242063,200,1.0136403336833404,1.0250515345286035
8110,1.0,4.11688826668084,0.005702761580831993,0.0004032461385296418,200,4.09935635737996,4.128004135768627
8110,2.0,1.9614997849807219,0.0037291269196931885,0.00026368909328203553,200,1.9503114930966616,1.972631780853739
8110,inf,0.9917330651303681,0.0019274536187355712,0.00013629155242304728,200,0.9859208193119291,0.9975782360165913
8275,1.0,4.053910054345454,0.005753912762047247,0.0004068630732399426,200,4.03601759758045,4.068747640690384
8275,2.0,1.9064927691965303,0.003745563831772043,0.00026485135848130804,200,1.8970022647244698,1.9162303798043139
8275,inf,0.9633952548305896,0.0019231356557671425,0.00013598622633345843,200,0.9585417103030638,0.9683821498440814
8441,1.0,3.9913571921726914,0.005356181707223171,0.0003787392406444843,200,3.9753361571766432,4.004170380413736
8441,2.0,1.8530478796207297,0.0032859761378423134,0.00023235360098854813,200,1.8435988972715296,1.8613220627735445
8441,inf,0.9358965375294794,0.0016900087362576772,0.0001195016637672311,200,0.9310549330912754,0.9401778209138736
8606,1.0,3.9266744611923277,0.005529737291257434,0.0003910114736828262,200,3.9131941973746356,3.9404572803935864
8606,2.0,1.8002300567923768,0.003506571951946116,0.00024795208059396473,200,1.7884210539921392,1.8078505588766793
8606,inf,0.9087928151984138,0.0018061963257923444,0.00012771736701219934,200,0.9026682245183437,0.9127822444055126
8772,1.0,3.8628871398635063,0.005284398483392597,0.00037366340020988123,200,3.8489949555847103,3.8752597378483813
8772,2.0,1.7477732535075352,0.003288999571781944,0.00023256739005266637,200,1.7382789443014017,1.7562950217996844
8772,inf,0.8818731467909838,0.0016873641081342977,0.00011931466031925528,200,0.8769852021530208,0.8861788819308677
8937,1.0,3.797810695705231,0.0051424231180212995,0.00036362422584833304,200,3.781110793084402,3.812051030510046
8937,2.0,1.6970253766793773,0.003081105106627832,0.00021786703144450407,200,1.6859174936336225,1.7042085648164762
8937,inf,0.8558992253573113,0.0015757438776235458,0.00011142191812807945,200,0.8502687761668685,0.8595930510324736
9103,1.0,3.7314991159476314,0.005833686212991526,0.00041250390805207775,200,3.7149466936138196,3.7479334135139086
9103,2.0,1.6464461640600667,0.003132599060408769,0.00022150820383536477,200,1.6369096969581032,1.654547958519688
9103,inf,0.8300430302923343,0.001592127721583845,0.00011258043084470243,200,0.8251859286376132,0.8340937640022152
9268,1.0,3.665841473084009,0.006019415356637057,0.00042563694174565034,200,3.6485605544859023,3.677210511572293
9268,2.0,1.5974084577890908,0.0032485279846659887,0.00022970561668315894,200,1.5851955790315557,1.6049075756829416
9268,inf,0.8050003428309692,0.0016520172180998444,0.00011681525775553356,200,0.7987940633865893,0.808871906594223
9434,1.0,3.5986555567614245,0.00531658499082235,0.0003759393299765102,200,3.5863362321836707,3.611532828214875
9434,2.0,1.5482438605354911,0.0029788851651850554,0.00021063899006783614,200,1.5406040496801203,1.55582101288016
9434,inf,0.7799193229847586,0.001518986366031103,0.0001074085559950504,200,0.7760378529065353,0.7837692949665618
9599,1.0,3.5320329416974268,0.005374114688873826,0.00038000729393769154,200,3.5173642711337094,3.5431042499182626
9599,2.0,1.5006290180479578,0.0028145937628713375,0.00019902183360116842,200,1.493398762939109,1.5079568928770444
9599,inf,0.7556558220156998,0.0014315936340259141,0.00010122895665232164,200,0.752025128744805,0.759404907337393
9765,1.0,3.4631376962970615,0.005286386760818173,0.00037380399265493175,200,3.4437139711556224,3.479394859245425
9765,2.0,1.4528669254617592,0.0026615009295793573,0.00018819653554398634,200,1.442665013967033,1.4604558498863096
