m,sample_count,position_mean,position_std,position_sem,qft_mean,qft_std,qft_sem,delta_qft_minus_position
11916,100,2.5215016017635903,0.0038442191886921156,0.00038442191886921154,2.521853593683027,0.003699706678503496,0.00036997066785034963,0.00035199191943657837
12081,100,2.4446243546703808,0.003147830144329159,0.0003147830144329159,2.444910348964947,0.003047482991902108,0.0003047482991902108,0.00028599429456610537
12247,100,2.3668781593914083,0.0032926224140730374,0.00032926224140730374,2.3670255452046565,0.002825351299403164,0.0002825351299403164,0.00014738581324813538
12412,100,2.2882545926599898,0.0029680808553175374,0.00029680808553175374,2.2882767487160782,0.002927534190529417,0.00029275341905294174,2.2156056088462606e-05
12578,100,2.2084527883029215,0.0039207212389144675,0.0003920721238914467,2.20850148013575,0.0033364365619181153,0.0003336436561918115,4.8691832828406945e-05
12743,100,2.128606620448525,0.0032184084905462203,0.000321840849054622,2.1284224194297137,0.0028303794500286277,0.0002830379450028628,-0.00018420101881133633
12909,100,2.046719373725334,0.0033978296922563883,0.00033978296922563883,2.046911812837826,0.0027740970750572995,0.00027740970750572995,0.00019243911249189338
13074,100,1.9654652892165134,0.00283847734048494,0.000283847734048494,1.9655059562982276,0.0027515145109255324,0.00027515145109255324,4.0667081714129694e-05
13240,100,1.882385030582206,0.002593807942238856,0.0002593807942238856,1.8820498266785257,0.0023514952826597124,0.00023514952826597123,-0.0003352039036803589
13405,100,1.7983789267144816,0.0028606532648143617,0.0002860653264814362,1.7985871395668593,0.0024618218093997225,0.00024618218093997227,0.00020821285237770937
13571,100,1.7139393527055395,0.0026877336468320435,0.00026877336468320435,1.7137605144551096,0.002392454217891123,0.0002392454217891123,-0.00017883825042996904
13736,100,1.6280579871959626,0.0023866096455104017,0.00023866096455104016,1.6279917234249828,0.0023628778744476894,0.00023628778744476893,-6.626377097984637e-05
13902,100,1.5408489518379778,0.0025356527363324553,0.00025356527363324554,1.5410340089208756,0.002294377641660905,0.00022943776416609052,0.00018505708289784373
14067,100,1.4528975538660105,0.0025525890615402036,0.0002552589061540204,1.4529933631670746,0.0023868928043657327,0.00023868928043657326,9.580930106412033e-05
14233,100,1.363703592489579,0.002192211277675213,0.0002192211277675213,1.3636672063644266,0.0019275198272986926,0.00019275198272986925,-3.638612515244333e-05
14398,100,1.2732601829685184,0.002085474116035731,0.0002085474116035731,1.273241909795478,0.0020056823689201934,0.00020056823689201933,-1.8273173040483925e-05
14564,100,1.1810513190062681,0.0019674562987374556,0.00019674562987374557,1.181103346630864,0.0019315042125719881,0.0001931504212571988,5.202762459588506e-05
14729,100,1.0884809151499042,0.002065629209910872,0.0002065629209910872,1.0882886242230285,0.0018270194963596845,0.00018270194963596845,-0.00019229092687567118
14895,100,0.9929286574502243,0.0018065956139742343,0.00018065956139742343,0.9930140955576637,0.00154657099647941,0.000154657099647941,8.543810743943947e-05
15060,100,0.8964515649564597,0.001656227446091154,0.0001656227446091154,0.8965347664587552,0.0016027234161735465,0.00016027234161735464,8.32015022954602e-05
